match_id	home_total_shots	home_shots_off_target	home_shots_saved	home_corners	home_free_kicks	home_offsides	home_fouls	away_total_shots	away_shots_off_target	away_shots_saved	away_corners	away_free_kicks	away_offsides	away_fouls	home_yellow_cards	home_red_cards	away_yellow_cards	away_red_cards
2872264	7.0	7.0	2.0	3.0	10.0	11.0	3.0	2.0	3.0	7.0	7.0	14.0	10.0	0.0	3.0	0.0	1.0	0.0
2872255	5.0	6.0	2.0	5.0	19.0	7.0	0.0	3.0	8.0	4.0	4.0	7.0	13.0	6.0	2.0	0.0	1.0	0.0
2872274	2.0	1.0	2.0	4.0	11.0	9.0	3.0	2.0	8.0	1.0	3.0	12.0	9.0	2.0	6.0	0.0	1.0	0.0
2872261	8.0	5.0	3.0	10.0	10.0	5.0	2.0	4.0	3.0	6.0	4.0	7.0	6.0	4.0	2.0	0.0	2.0	0.0
2872266	6.0	7.0	3.0	6.0	15.0	15.0	5.0	5.0	3.0	4.0	3.0	20.0	12.0	3.0	5.0	0.0	2.0	0.0
2872265	6.0	3.0	2.0	3.0	16.0	9.0	5.0	2.0	7.0	5.0	5.0	14.0	13.0	3.0	1.0	0.0	0.0	1.0
2872270	4.0	4.0	3.0	6.0	11.0	10.0	1.0	6.0	6.0	2.0	5.0	11.0	9.0	2.0	2.0	0.0	1.0	0.0
2872267	6.0	6.0	2.0	8.0	13.0	8.0	1.0	2.0	2.0	4.0	1.0	9.0	8.0	5.0	0.0	0.0	0.0	0.0
2872271	3.0	2.0	5.0	4.0	11.0	10.0	4.0	6.0	3.0	2.0	5.0	14.0	10.0	1.0	2.0	0.0	2.0	0.0
2872272	3.0	8.0	2.0	6.0	19.0	9.0	1.0	2.0	3.0	2.0	3.0	10.0	17.0	2.0	2.0	0.0	5.0	0.0
2872273	12.0	6.0	2.0	12.0	10.0	13.0	6.0	3.0	1.0	7.0	6.0	19.0	7.0	3.0	1.0	0.0	0.0	0.0
2872269	5.0	2.0	6.0	2.0	11.0	17.0	4.0	7.0	3.0	4.0	8.0	21.0	11.0	0.0	4.0	0.0	2.0	0.0
2872275	2.0	5.0	7.0	6.0	18.0	7.0	4.0	7.0	5.0	1.0	4.0	11.0	16.0	2.0	0.0	0.0	0.0	0.0
2872276	4.0	6.0	1.0	4.0	19.0	13.0	3.0	2.0	3.0	2.0	6.0	16.0	19.0	0.0	2.0	0.0	2.0	0.0
2872268	3.0	12.0	1.0	12.0	10.0	7.0	1.0	2.0	1.0	2.0	1.0	8.0	10.0	0.0	1.0	0.0	3.0	0.0
2872277	3.0	3.0	2.0	1.0	13.0	11.0	2.0	5.0	4.0	2.0	3.0	13.0	3.0	10.0	0.0	0.0	0.0	0.0
2872279	3.0	1.0	5.0	2.0	6.0	14.0	1.0	10.0	10.0	3.0	5.0	15.0	5.0	1.0	0.0	0.0	0.0	0.0
2872282	4.0	3.0	3.0	4.0	15.0	11.0	2.0	4.0	3.0	4.0	1.0	13.0	11.0	4.0	2.0	0.0	2.0	0.0
2872280	1.0	3.0	4.0	1.0	9.0	9.0	5.0	4.0	7.0	1.0	7.0	14.0	9.0	0.0	2.0	0.0	0.0	0.0
2872278	2.0	3.0	8.0	4.0	10.0	13.0	2.0	8.0	3.0	1.0	9.0	15.0	10.0	0.0	1.0	0.0	2.0	0.0
2872283	4.0	3.0	3.0	9.0	9.0	12.0	3.0	8.0	2.0	3.0	9.0	15.0	9.0	0.0	1.0	0.0	0.0	0.0
2872281	5.0	4.0	2.0	5.0	10.0	16.0	1.0	2.0	3.0	5.0	7.0	17.0	6.0	4.0	1.0	0.0	1.0	0.0
2872284	9.0	5.0	4.0	10.0	11.0	5.0	3.0	4.0	2.0	7.0	2.0	8.0	10.0	1.0	1.0	0.0	1.0	0.0
