match_id	home_total_shots	home_shots_saved	home_corners	home_free_kicks	home_offsides	home_fouls	away_total_shots	away_shots_saved	away_corners	away_free_kicks	away_offsides	away_fouls	home_cards	away_cards
3050411	9	2	8	9	14	1	2	6	5	15	7	2	2	2
3050410	6	2	5	13	17	2	4	5	0	19	12	1	3	2
3050413	5	1	8	15	15	0	3	3	2	15	12	3	3	3
3050415	3	4	8	17	20	0	4	2	2	20	11	6	2	1
3050407	5	2	9	8	7	1	5	4	3	8	8	0	1	1
3050412	9	4	2	13	10	2	4	3	2	12	12	1	1	2
3050414	5	8	2	9	10	7	9	2	9	17	4	5	3	1
3050416	7	2	13	10	7	1	3	5	1	8	9	1	1	3
3050430	5	2	3	12	10	3	7	4	3	13	11	1	1	2
3050432	1	2	5	11	12	0	4	1	6	12	6	5	1	1
3050436	6	4	12	14	13	3	5	3	0	16	11	3	1	1
3050429	4	5	7	12	8	4	6	2	6	12	12	0	1	3
3050428	3	1	9	16	9	1	2	2	8	10	13	3	4	5
3050433	6	1	8	13	5	0	5	5	3	5	12	1	2	1
3050435	12	1	12	6	12	0	1	10	0	12	6	0	2	2
3050427	4	4	6	15	7	3	5	2	4	10	14	1	0	0
3050434	3	1	3	17	15	3	1	3	7	18	16	1	1	3
3050439	2	1	3	13	9	0	1	1	5	9	9	4	2	2
3050431	5	1	7	10	5	0	1	2	1	5	8	2	0	0
3050438	0	1	3	13	12	3	4	0	4	15	12	1	3	1
3050443	4	1	4	10	8	0	1	2	7	8	8	2	1	3
3050440	4	2	4	11	9	2	4	1	8	11	7	4	1	1
3050444	4	4	7	15	15	2	4	2	4	17	13	2	0	1
3050442	1	0	2	15	7	1	0	0	2	8	14	1	1	1
3050441	1	1	5	6	8	2	4	0	6	10	6	0	2	3
3050437	8	4	9	12	10	3	6	2	4	13	8	4	2	2
3050445	10	2	6	8	5	1	2	5	4	6	6	2	0	2
3050446	7	1	13	7	2	7	1	5	2	9	5	2	0	2
3050453	3	1	3	15	14	5	3	2	4	19	14	1	3	4
3050447	0	6	0	9	7	1	7	0	14	8	7	2	1	2
3050452	6	1	9	9	7	2	3	3	7	9	9	0	2	1
3050451	5	5	5	10	10	2	7	4	4	12	10	0	2	1
3050455	4	2	1	16	8	1	2	2	6	9	13	3	3	4
3050449	4	2	8	12	10	2	4	3	5	12	12	0	1	2
