Season,Club,Squad,Average age,Foreigners,Total market value
23/24,Arsenal FC,40,24.6,23,0.8152687484457706
23/24,Chelsea FC,56,22.2,26,0.6802728338484492
23/24,Liverpool FC,45,24.2,30,0.6417989981882126
23/24,Tottenham Hotspur,41,25.6,27,0.5584212583040249
23/24,Manchester United,46,24.9,27,0.5372837400973391
23/24,Aston Villa,45,25.0,23,0.4670503392660485
23/24,Newcastle United,45,26.3,20,0.42637393868343454
23/24,Brighton & Hove Albion,49,24.2,32,0.3352516963302426
23/24,Nottingham Forest,46,26.6,35,0.31887456037514655
23/24,West Ham United,36,26.6,19,0.30903406870581546
23/24,Crystal Palace,40,25.1,17,0.28010231269316843
23/24,Wolverhampton Wanderers,47,23.9,32,0.2775800206046396
23/24,Brentford FC,42,25.0,29,0.26749085225052394
23/24,AFC Bournemouth,42,25.7,26,0.2482148566556538
23/24,Everton FC,34,26.8,16,0.24100323279690217
23/24,Fulham FC,35,26.9,31,0.2357454971757434
23/24,Burnley FC,39,25.3,30,0.156971828484138
23/24,Sheffield United,45,24.7,26,0.07097943088564423
23/24,Luton Town,46,25.7,22,0.06277310028775446
